,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
12566,566,1,111132,100,2221591.847,17604.366116097954,20,5.681749496636369e-05,0.898
12567,567,100,111132,100,109134.62,17604.366116097954,20,5.681749496636369e-05,0.898
12568,568,1,121282,100,2424607.99,22198.660773238054,20,4.505119142250305e-05,0.898
12569,569,100,121282,100,116391.979,22198.660773238054,20,4.505119142250305e-05,0.898
12570,570,1,129075,100,2580476.694,22120.447712907822,20,4.521288035276475e-05,0.898
12571,571,100,129075,100,142845.933,22120.447712907822,20,4.521288035276475e-05,0.898
12572,572,1,134656,100,2692125.904,27689.228279823128,20,3.611438274319027e-05,9.405
12573,573,100,134656,100,130574.987,27689.228279823128,20,3.611438274319027e-05,9.405
12574,574,1,125678,100,2512514.558,24889.299315324603,20,4.017821205587064e-05,2.844
12575,575,100,125678,100,159388.211,24889.299315324603,20,4.017821205587064e-05,2.844
12623,623,100,135642,100,109720.898,22572.04178449097,20,4.4309178142564426e-05,1.92
12576,576,1,124054,100,2480098.98,20857.021832644445,20,4.79527990249735e-05,2.514
12578,578,1,116695,100,2332814.329,19580.605753479056,20,5.107932763594279e-05,1.06
12579,579,100,116695,100,114812.494,19580.605753479056,20,5.107932763594279e-05,1.06
12580,580,1,111119,100,2221339.263,31366.450994302384,20,3.18728192086963e-05,13.431
12581,581,100,111119,100,90330.528,31366.450994302384,20,3.18728192086963e-05,13.431
12582,582,1,129097,100,2580867.973,23196.949306156846,20,4.311287984672792e-05,0.898
12583,583,100,129097,100,105907.504,23196.949306156846,20,4.311287984672792e-05,0.898
12584,584,1,121501,100,2429050.774,22008.22871725275,20,4.544143195270266e-05,1.209
12585,585,100,121501,100,123171.498,22008.22871725275,20,4.544143195270266e-05,1.209
12586,586,1,121651,100,2431980.571,24805.509705714638,20,4.031297495017928e-05,8.598
12587,587,100,121651,100,76941.209,24805.509705714638,20,4.031297495017928e-05,8.598
12588,588,1,117967,100,2358277.853,18956.323758132472,20,5.276376993734602e-05,0.898
12589,589,100,117967,100,96908.383,18956.323758132472,20,5.276376993734602e-05,0.898
12590,590,1,116318,100,2325384.738,18782.451128550016,20,5.325209560823112e-05,2.312
12577,577,100,124054,100,122953.431,20857.021832644445,20,4.79527990249735e-05,2.514
12500,500,1,126472,100,2528462.291,22873.08167770665,20,4.372316115768168e-05,0.898
12748,748,1,119617,100,2391307.206,20871.039976195312,20,4.791912469723106e-05,0.898
12750,750,1,114689,100,2292726.545,21796.35295276452,20,4.588131251967444e-05,2.579
12907,907,100,121871,100,190824.37,30121.3432208022,20,3.31938394294855e-05,9.548
12908,908,1,117760,100,2354159.25,20558.47098583971,20,4.864774919042274e-05,0.898
12909,909,100,117760,100,102899.299,20558.47098583971,20,4.864774919042274e-05,0.898
12910,910,1,115255,100,2304071.937,20422.67586058032,20,4.897063153369126e-05,0.898
12911,911,100,115255,100,118069.548,20422.67586058032,20,4.897063153369126e-05,0.898
12912,912,1,116342,100,2325748.786,19621.03600573856,20,5.097383560672786e-05,1.209
12913,913,100,116342,100,123428.849,19621.03600573856,20,5.097383560672786e-05,1.209
12914,914,1,132785,100,2654694.31,23347.055749115287,20,4.283637803244451e-05,1.06
12915,915,100,132785,100,133273.931,23347.055749115287,20,4.283637803244451e-05,1.06
12916,916,1,114551,100,2290029.967,20538.854374316077,20,4.869309890904388e-05,0.898
12917,917,100,114551,100,125708.509,20538.854374316077,20,4.869309890904388e-05,0.898
12918,918,1,130526,100,2609476.524,22843.090918560563,20,4.378169121227958e-05,1.001
12919,919,100,130526,100,90667.245,22843.090918560563,20,4.378169121227958e-05,1.001
12920,920,1,123763,100,2474211.566,22827.35658278421,20,4.381005879910681e-05,1.001
12921,921,100,123763,100,178101.741,22827.35658278421,20,4.381005879910681e-05,1.001
12922,922,1,122454,100,2448083.385,21458.311376146783,20,4.660735493394649e-05,1.06
12923,923,100,122454,100,163881.44,21458.311376146783,20,4.660735493394649e-05,1.06
12924,924,1,127795,100,2554831.512,22501.500642762858,20,4.4446193385284526e-05,0.898
12925,925,100,127795,100,165454.62,22501.500642762858,20,4.4446193385284526e-05,0.898
12926,926,1,127027,100,2539478.767,27778.10008677081,20,3.5997149009919795e-05,8.598
12927,927,100,127027,100,182073.476,27778.10008677081,20,3.5997149009919795e-05,8.598
12928,928,1,125859,100,2516136.148,40618.18399756552,20,2.4612067771557915e-05,13.476
12929,929,100,125859,100,169282.312,40618.18399756552,20,2.4612067771557915e-05,13.476
12930,930,1,122093,100,2440792.975,21049.11135150809,20,4.751415883800208e-05,0.898
12931,931,100,122093,100,143768.294,21049.11135150809,20,4.751415883800208e-05,0.898
12932,932,1,118254,100,2364050.105,21274.916850597427,20,4.7008132765896856e-05,0.898
12933,933,100,118254,100,101444.913,21274.916850597427,20,4.7008132765896856e-05,0.898
12906,906,1,121871,100,2436293.711,30121.3432208022,20,3.31938394294855e-05,9.548
12934,934,1,112948,100,2257955.804,19976.65540466611,20,5.006421023236494e-05,0.898
12905,905,100,123675,100,115345.933,21104.02786653581,20,4.739089874998679e-05,1.001
12903,903,100,127947,100,140674.195,21175.28873587156,20,4.723254116794439e-05,1.001
12876,876,1,114030,100,2279522.042,19452.48468548357,20,5.1415069556296535e-05,1.001
12877,877,100,114030,100,134647.053,19452.48468548357,20,5.1415069556296535e-05,1.001
12878,878,1,119597,100,2390889.834,22731.31829400781,20,4.39940764064966e-05,1.936
12879,879,100,119597,100,157761.356,22731.31829400781,20,4.39940764064966e-05,1.936
12880,880,1,116936,100,2337711.074,24301.298612031136,20,4.114872488054279e-05,8.854
12881,881,100,116936,100,104395.994,24301.298612031136,20,4.114872488054279e-05,8.854
12882,882,1,113857,100,2276133.298,20100.969859375367,20,4.9754631991019486e-05,0.898
12883,883,100,113857,100,107223.004,20100.969859375367,20,4.9754631991019486e-05,0.898
12884,884,1,123314,100,2465226.41,26688.05005455232,20,3.746763411285191e-05,8.397
12885,885,100,123314,100,115870.421,26688.05005455232,20,3.746763411285191e-05,8.397
12886,886,1,139294,100,2784856.984,24751.9547461779,20,4.040448106514197e-05,1.001
12887,887,100,139294,100,124275.247,24751.9547461779,20,4.040448106514197e-05,1.001
12888,888,1,129114,100,2581227.786,22848.50918447808,20,4.377093247158037e-05,1.001
12889,889,100,129114,100,169454.987,22848.50918447808,20,4.377093247158037e-05,1.001
12890,890,1,124918,100,2497332.832,21479.152090471744,20,4.656284124222776e-05,1.001
12891,891,100,124918,100,127875.119,21479.152090471744,20,4.656284124222776e-05,1.001
12892,892,1,123228,100,2463499.956,26040.478200811453,20,3.840006928700509e-05,8.211
12893,893,100,123228,100,135245.2,26040.478200811453,20,3.840006928700509e-05,8.211
12894,894,1,116766,100,2334252.342,19592.819300116036,20,5.10474809091932e-05,1.001
12895,895,100,116766,100,97821.936,19592.819300116036,20,5.10474809091932e-05,1.001
12896,896,1,112608,100,2251089.49,19945.65449642464,20,5.01419658325299e-05,1.001
12897,897,100,112608,100,97576.404,19945.65449642464,20,5.01419658325299e-05,1.001
12898,898,1,127636,100,2551670.683,22527.958708554143,20,4.439390394984589e-05,1.06
12899,899,100,127636,100,141133.931,22527.958708554143,20,4.439390394984589e-05,1.06
12900,900,1,126409,100,2527143.297,23341.865386711117,20,4.28442814991238e-05,0.898
12901,901,100,126409,100,117252.6,23341.865386711117,20,4.28442814991238e-05,0.898
12902,902,1,127947,100,2557909.97,21175.28873587156,20,4.723254116794439e-05,1.001
12904,904,1,123675,100,2472457.997,21104.02786653581,20,4.739089874998679e-05,1.001
12935,935,100,112948,100,138801.44,19976.65540466611,20,5.006421023236494e-05,0.898
12936,936,1,123763,100,2474230.151,21403.021232085823,20,4.67282712014798e-05,1.001
12937,937,100,123763,100,103498.235,21403.021232085823,20,4.67282712014798e-05,1.001
12970,970,1,113761,100,2274211.215,19457.144013823137,20,5.1402639585264016e-05,0.898
12971,971,100,113761,100,158355.577,19457.144013823137,20,5.1402639585264016e-05,0.898
12972,972,1,121742,100,2433806.744,21442.463354157044,20,4.664161065011205e-05,1.001
12973,973,100,121742,100,136354.195,21442.463354157044,20,4.664161065011205e-05,1.001
12974,974,1,120172,100,2402382.055,22032.212834270453,20,4.539150458502508e-05,0.898
12975,975,100,120172,100,99861.936,22032.212834270453,20,4.539150458502508e-05,0.898
12976,976,1,118080,100,2360609.229,19860.182749172614,20,5.036005497570011e-05,1.44
12977,977,100,118080,100,131653.431,19860.182749172614,20,5.036005497570011e-05,1.44
